DistrictName,Name,AUN,Schl,DataElement,DisplayValue
Laurel Highlands School District,Clark El Sch,101264003,2146,Percent  Advanced  Mathematics/Algebra 1  (All Student),5.1
Laurel Highlands School District,Clark El Sch,101264003,2146,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Laurel Highlands School District,Clark El Sch,101264003,2146,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),4.5
Laurel Highlands School District,Clark El Sch,101264003,2146,Percent  Advanced  Mathematics/Algebra 1  (White),2.9
Laurel Highlands School District,Hatfield El Sch,101264003,2163,Percent  Advanced  Mathematics/Algebra 1  (White),20.5
Laurel Highlands School District,Hatfield El Sch,101264003,2163,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),11.7
Laurel Highlands School District,Hatfield El Sch,101264003,2163,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),9.4
Laurel Highlands School District,Hatfield El Sch,101264003,2163,Percent  Advanced  Mathematics/Algebra 1  (All Student),19.6
Laurel Highlands School District,Hutchinson El Sch,101264003,4700,Percent  Advanced  Mathematics/Algebra 1  (All Student),11.6
Laurel Highlands School District,Hutchinson El Sch,101264003,4700,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Laurel Highlands School District,Hutchinson El Sch,101264003,4700,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),9.1
Laurel Highlands School District,Hutchinson El Sch,101264003,4700,Percent  Advanced  Mathematics/Algebra 1  (White),12.6
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),0.0
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (White),10.6
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (Black),0.0
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),3.6
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),3.3
Laurel Highlands School District,Laurel Highlands MS,101264003,5146,Percent  Advanced  Mathematics/Algebra 1  (All Student),9.4
Laurel Highlands School District,Laurel Highlands SHS,101264003,6600,Percent  Advanced  Mathematics/Algebra 1  (All Student),13.6
Laurel Highlands School District,Laurel Highlands SHS,101264003,6600,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Laurel Highlands School District,Laurel Highlands SHS,101264003,6600,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),7.0
Laurel Highlands School District,Laurel Highlands SHS,101264003,6600,Percent  Advanced  Mathematics/Algebra 1  (White),13.3
Laurel Highlands School District,Marshall El Sch,101264003,4820,Percent  Advanced  Mathematics/Algebra 1  (White),10.7
Laurel Highlands School District,Marshall El Sch,101264003,4820,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.6
Laurel Highlands School District,Marshall El Sch,101264003,4820,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),2.9
Laurel Highlands School District,Marshall El Sch,101264003,4820,Percent  Advanced  Mathematics/Algebra 1  (All Student),10.1
Laurel School District,Laurel El Sch,104374003,7001,Percent  Advanced  Mathematics/Algebra 1  (All Student),22.8
Laurel School District,Laurel El Sch,104374003,7001,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),8.3
Laurel School District,Laurel El Sch,104374003,7001,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),16.0
Laurel School District,Laurel El Sch,104374003,7001,Percent  Advanced  Mathematics/Algebra 1  (White),22.5
Laurel School District,Laurel HS,104374003,2680,Percent  Advanced  Mathematics/Algebra 1  (White),9.7
Laurel School District,Laurel HS,104374003,2680,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),7.7
Laurel School District,Laurel HS,104374003,2680,Percent  Advanced  Mathematics/Algebra 1  (All Student),9.2
Laurel School District,Laurel MS,104374003,8432,Percent  Advanced  Mathematics/Algebra 1  (All Student),14.6
Laurel School District,Laurel MS,104374003,8432,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),2.2
Laurel School District,Laurel MS,104374003,8432,Percent  Advanced  Mathematics/Algebra 1  (White),13.9
Lawrence County CTC,Lawrence County CTC,104374207,4940,Percent  Advanced  Mathematics/Algebra 1  (White),2.1
Lawrence County CTC,Lawrence County CTC,104374207,4940,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.3
Lawrence County CTC,Lawrence County CTC,104374207,4940,Percent  Advanced  Mathematics/Algebra 1  (All Student),1.9
Lawrence County CTC,Lawrence County CTC,104374207,4940,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),6.4
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (White),8.0
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),4.6
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),3.6
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (English Learner),2.6
Lebanon School District,Harding El Sch,113384603,6616,Percent  Advanced  Mathematics/Algebra 1  (All Student),7.1
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (All Student),19.6
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (English Learner),9.5
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),10.8
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),17.3
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (White),30.2
Lebanon School District,Houck El Sch,113384603,5337,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),17.0
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),9.1
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),1.8
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (White),2.5
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (Black),0.0
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.6
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.8
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.5
Lebanon School District,Lebanon MS,113384603,2754,Percent  Advanced  Mathematics/Algebra 1  (All Student),2.0
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (All Student),7.4
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),1.8
