geoid,geoid2,schooldistrictname,aveincome
9700000US4200824,4200824,Central Valley School District,75155
9700000US4202010,4202010,Abington Heights School District,102589
9700000US4202040,4202040,Abington School District,108403
9700000US4202100,4202100,Albert Gallatin Area School District,53552
9700000US4202130,4202130,Aliquippa School District,41363
9700000US4202190,4202190,Allegheny Valley School District,70540
9700000US4202280,4202280,Allentown City School District,50004
9700000US4202310,4202310,Allegheny-Clarion Valley School District,63345
9700000US4202340,4202340,Altoona Area School District,54635
9700000US4202400,4202400,Wissahickon School District,150555
9700000US4202440,4202440,Ambridge Area School District,69120
9700000US4202480,4202480,Antietam School District,63641
9700000US4202490,4202490,Annville-Cleona School District,75616
9700000US4202550,4202550,Apollo-Ridge School District,55612
9700000US4202590,4202590,Armstrong School District,60317
9700000US4202670,4202670,Athens Area School District,70936
9700000US4202700,4202700,Austin Area School District,58096
9700000US4202760,4202760,Avella Area School District,85630
9700000US4202790,4202790,Avon Grove School District,122992
9700000US4202820,4202820,Avonworth School District,105387
9700000US4202850,4202850,Pine-Richland School District,146939
9700000US4202910,4202910,Bald Eagle Area School District,66220
9700000US4202970,4202970,Baldwin-Whitehall School District,72876
9700000US4203000,4203000,Bangor Area School District,78868
9700000US4203120,4203120,Beaver Area School District,79869
9700000US4203180,4203180,Bedford Area School District,61090
9700000US4203210,4203210,Belle Vernon Area School District,74591
9700000US4203240,4203240,Bellefonte Area School District,70283
9700000US4203300,4203300,Bellwood-Antis School District,70515
9700000US4203330,4203330,Bensalem Township School District,79253
9700000US4203360,4203360,Bentworth School District,63436
9700000US4203390,4203390,Benton Area School District,63551
9700000US4203420,4203420,Berlin Brothersvalley School District,61381
9700000US4203450,4203450,Bermudian Springs School District,80409
9700000US4203480,4203480,Berwick Area School District,59215
9700000US4203510,4203510,Bethel Park School District,92901
9700000US4203570,4203570,Bethlehem Area School District,78314
9700000US4203600,4203600,Bethlehem-Center School District,69781
9700000US4203630,4203630,Big Beaver Falls Area School District,55526
9700000US4203660,4203660,Big Spring School District,73297
9700000US4203688,4203688,Blackhawk School District,82912
9700000US4203690,4203690,Blacklick Valley School District,48725
9700000US4203750,4203750,Blairsville-Saltsburg School District,59684
9700000US4203840,4203840,Bloomsburg Area School District,61104
9700000US4203870,4203870,Blue Mountain School District,76028
9700000US4203900,4203900,Blue Ridge School District,59532
9700000US4203960,4203960,Boyertown Area School District,87967
9700000US4204020,4204020,Bradford Area School District,61276
9700000US4204050,4204050,Brandywine Heights Area School District,81679
9700000US4204080,4204080,Brownsville Area School District,56148
9700000US4204090,4204090,Bryn Athyn School District,138158
9700000US4204140,4204140,Brentwood Borough School District,69534
9700000US4204200,4204200,Bristol Borough School District,63356
9700000US4204230,4204230,Bristol Township School District,73068
9700000US4204260,4204260,Brockway Area School District,60475
9700000US4204320,4204320,Brookville Area School District,59874
9700000US4204500,4204500,Burgettstown Area School District,63876
9700000US4204530,4204530,Burrell School District,72642
9700000US4204590,4204590,Butler Area School District,66563
9700000US4204710,4204710,California Area School District,63215
9700000US4204740,4204740,Cambria Heights School District,57921
9700000US4204830,4204830,Cameron County School District,51694
9700000US4204860,4204860,Camp Hill School District,93535
9700000US4204890,4204890,Canon-McMillan School District,92779
9700000US4204920,4204920,Canton Area School District,56879
9700000US4204980,4204980,Carbondale Area School District,52814
9700000US4205010,4205010,Carlisle Area School District,75664
9700000US4205040,4205040,Carlynton School District,64901
9700000US4205070,4205070,Carmichaels Area School District,53422
9700000US4205160,4205160,Catasauqua Area School District,63648
9700000US4205190,4205190,Centennial School District,90393
9700000US4205310,4205310,Central Bucks School District,131713
9700000US4205340,4205340,Central Cambria School District,72776
9700000US4205370,4205370,Central Columbia School District,71997
9700000US4205400,4205400,Central Dauphin School District,82306
9700000US4205430,4205430,Central Greene School District,68406
9700000US4205460,4205460,Crestwood School District,94029
9700000US4205490,4205490,Central York School District,84809
9700000US4205550,4205550,Chambersburg Area School District,73681
9700000US4205640,4205640,Charleroi School District,56581
9700000US4205700,4205700,Chartiers Valley School District,80842
9700000US4205730,4205730,Chartiers-Houston School District,84442
9700000US4205760,4205760,Cheltenham Township School District,106026
9700000US4205860,4205860,Chester-Upland School District,42597
9700000US4205880,4205880,Chestnut Ridge School District,60054
9700000US4205910,4205910,Chichester School District,72840
9700000US4206030,4206030,Clairton City School District,44762
9700000US4206060,4206060,Clarion Area School District,55949
9700000US4206090,4206090,Clarion-Limestone Area School District,55466
9700000US4206120,4206120,Claysburg-Kimmel School District,49569
9700000US4206150,4206150,Clearfield Area School District,58114
9700000US4206240,4206240,Coatesville Area School District,87895
9700000US4206270,4206270,Cocalico School District,82731
9700000US4206360,4206360,Columbia Borough School District,54428
9700000US4206390,4206390,Commodore Perry School District,59798
9700000US4206420,4206420,Conemaugh Township Area School District,55048
9700000US4206430,4206430,Conemaugh Valley School District,56493
9700000US4206480,4206480,Conestoga Valley School District,76564
9700000US4206550,4206550,Conewago Valley School District,69103
9700000US4206590,4206590,Conneaut School District,63388
9700000US4206660,4206660,Connellsville Area School District,57533
9700000US4206780,4206780,Conrad Weiser Area School District,82375
9700000US4206810,4206810,Cornell School District,52204
9700000US4206840,4206840,Cornwall-Lebanon School District,80728
9700000US4206860,4206860,Corry Area School District,54681
9700000US4206930,4206930,Coudersport Area School District,61938
9700000US4206960,4206960,Council Rock School District,154390
9700000US4207050,4207050,Cranberry Area School District,63806
9700000US4207080,4207080,Crawford Central School District,60176
9700000US4207110,4207110,Cumberland Valley School District,103589
9700000US4207140,4207140,Curwensville Area School District,53312
9700000US4207200,4207200,Dallas School District,88705
9700000US4207230,4207230,Dallastown Area School District,88779
9700000US4207290,4207290,Daniel Boone Area School District,89783
9700000US4207320,4207320,Danville Area School District,77540
9700000US4207530,4207530,Delaware Valley School District,82376
9700000US4207540,4207540,Deer Lakes School District,74482
9700000US4207560,4207560,Derry Area School District,62695
9700000US4207590,4207590,Derry Township School District,107438
9700000US4207650,4207650,Donegal School District,77210
9700000US4207680,4207680,Dover Area School District,72833
9700000US4207710,4207710,Downingtown Area School District,140311
9700000US4207830,4207830,DuBois Area School District,55835
9700000US4207980,4207980,Dunmore School District,66843
9700000US4208010,4208010,Duquesne City School District,48689
9700000US4208060,4208060,East Allegheny School District,54273
9700000US4208280,4208280,Forest Area School District,48194
9700000US4208460,4208460,Eastern Lebanon County School District,70379
9700000US4208490,4208490,East Lycoming School District,70367
9700000US4208550,4208550,East Penn School District,96669
9700000US4208580,4208580,East Pennsboro Area School District,75328
9700000US4208670,4208670,East Stroudsburg Area School District,72696
9700000US4208790,4208790,Eastern York School District,73846
9700000US4208820,4208820,Eastern Lancaster County School District,75604
9700000US4208850,4208850,Easton Area School District,82406
9700000US4209090,4209090,Elizabeth Forward School District,67139
9700000US4209120,4209120,Elizabethtown Area School District,77180
9700000US4209150,4209150,Elk Lake School District,70770
9700000US4209240,4209240,Ellwood City Area School District,59387
9700000US4209270,4209270,Ephrata Area School District,70514
9700000US4209300,4209300,Erie City School District,47651
9700000US4209360,4209360,Everett Area School District,56913
9700000US4209480,4209480,Exeter Township School District,97599
9700000US4209540,4209540,Fairfield Area School District,86701
9700000US4209570,4209570,Fairview School District,110443
9700000US4209600,4209600,Karns City Area School District,67266
9700000US4209660,4209660,Fannett-Metal School District,59012
9700000US4209690,4209690,Farrell Area School District,39049
9700000US4209750,4209750,Ferndale Area School District,48711
9700000US4209780,4209780,Fleetwood Area School District,81450
9700000US4209870,4209870,Forbes Road School District,53844
9700000US4209930,4209930,Forest City Regional School District,63443
9700000US4209940,4209940,Forest Hills School District,65298
9700000US4209960,4209960,Fort Cherry School District,66330
9700000US4209990,4209990,Fort LeBoeuf School District,74279
9700000US4210070,4210070,Fox Chapel Area School District,131847
9700000US4210110,4210110,North Schuylkill School District,56141
9700000US4210115,4210115,North Star School District,53457
9700000US4210200,4210200,Franklin Area School District,58934
9700000US4210230,4210230,Franklin Regional School District,114081
9700000US4210350,4210350,Frazier School District,63258
9700000US4210380,4210380,Freedom Area School District,68201
9700000US4210440,4210440,Freeport Area School District,82906
9700000US4210530,4210530,Galeton Area School District,49687
9700000US4210590,4210590,Garnet Valley School District,133092
9700000US4210620,4210620,Gateway School District,70137
9700000US4210650,4210650,General McLane School District,73965
9700000US4210710,4210710,Gettysburg Area School District,79042
9700000US4210740,4210740,Girard School District,64553
9700000US4210830,4210830,Glendale School District,56778
9700000US4210860,4210860,Governor Mifflin School District,84806
9700000US4210870,4210870,Great Valley School District,149711
9700000US4210920,4210920,Greensburg Salem School District,59048
9700000US4210950,4210950,Greater Johnstown School District,36962
9700000US4210980,4210980,Greater Latrobe School District,83093
9700000US4211010,4211010,Greencastle-Antrim School District,85920
9700000US4211160,4211160,Greenville Area School District,73072
9700000US4211190,4211190,Greenwood School District,77630
9700000US4211220,4211220,Grove City Area School District,68272
9700000US4211310,4211310,Halifax Area School District,74671
9700000US4211340,4211340,Hamburg Area School District,74575
9700000US4211400,4211400,Hampton Township School District,118750
9700000US4211420,4211420,Hanover Area School District,57181
9700000US4211450,4211450,Hanover Public School District,61899
9700000US4211490,4211490,Harbor Creek School District,77437
9700000US4211520,4211520,Harmony Area School District,53718
9700000US4211580,4211580,Harrisburg City School District,49194
